HH2406T,09,133,District - Muzaffarnagar,Rural,Near the premises,"  1,162 ",  184 ,  168 ,  15 ,  1 ,  738 ,  9 ,  2 ,  5 ,  9 ,  31 
HH2406T,09,133,District - Muzaffarnagar,Rural,Away,  458 ,  63 ,  34 ,  22 ,  -   ,  298 ,  2 ,  1 ,  -   ,  15 ,  23 
HH2406T,09,133,District - Muzaffarnagar,Urban,Total,"  2,234 ",  795 ,  168 ,  15 ,  1 ,"  1,037 ",  149 ,  1 ,  1 ,  17 ,  50 
HH2406T,09,133,District - Muzaffarnagar,Urban,Within the premises,"  1,928 ",  733 ,  108 ,  14 ,  1 ,  939 ,  133 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,133,District - Muzaffarnagar,Urban,Near the premises,  228 ,  57 ,  34 ,  1 ,  -   ,  76 ,  10 ,  1 ,  1 ,  17 ,  31 
HH2406T,09,133,District - Muzaffarnagar,Urban,Away,  78 ,  5 ,  26 ,  -   ,  -   ,  22 ,  6 ,  -   ,  -   ,  -   ,  19 
HH2406T,09,134,District - Bijnor,Total,Total,"  5,132 ","  1,677 ",  711 ,  33 ,  2 ,"  2,558 ",  85 ,  4 ,  6 ,  4 ,  52 
HH2406T,09,134,District - Bijnor,Total,Within the premises,"  3,156 ","  1,302 ",  439 ,  17 ,  1 ,"  1,321 ",  76 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,134,District - Bijnor,Total,Near the premises,"  1,492 ",  303 ,  210 ,  13 ,  1 ,  926 ,  9 ,  4 ,  6 ,  4 ,  16 
HH2406T,09,134,District - Bijnor,Total,Away,  484 ,  72 ,  62 ,  3 ,  -   ,  311 ,  -   ,  -   ,  -   ,  -   ,  36 
HH2406T,09,134,District - Bijnor,Rural,Total,"  3,668 ","  1,126 ",  519 ,  30 ,  2 ,"  1,911 ",  24 ,  2 ,  5 ,  2 ,  47 
HH2406T,09,134,District - Bijnor,Rural,Within the premises,"  2,088 ",  826 ,  317 ,  16 ,  1 ,  913 ,  15 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,134,District - Bijnor,Rural,Near the premises,"  1,233 ",  251 ,  153 ,  13 ,  1 ,  784 ,  9 ,  2 ,  5 ,  2 ,  13 
HH2406T,09,134,District - Bijnor,Rural,Away,  347 ,  49 ,  49 ,  1 ,  -   ,  214 ,  -   ,  -   ,  -   ,  -   ,  34 
HH2406T,09,134,District - Bijnor,Urban,Total,"  1,464 ",  551 ,  192 ,  3 ,  -   ,  647 ,  61 ,  2 ,  1 ,  2 ,  5 
HH2406T,09,134,District - Bijnor,Urban,Within the premises,"  1,068 ",  476 ,  122 ,  1 ,  -   ,  408 ,  61 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,134,District - Bijnor,Urban,Near the premises,  259 ,  52 ,  57 ,  -   ,  -   ,  142 ,  -   ,  2 ,  1 ,  2 ,  3 
HH2406T,09,134,District - Bijnor,Urban,Away,  137 ,  23 ,  13 ,  2 ,  -   ,  97 ,  -   ,  -   ,  -   ,  -   ,  2 
HH2406T,09,135,District - Moradabad,Total,Total,"  6,486 ","  2,579 ",  624 ,  19 ,  4 ,"  2,816 ",  269 ,  2 ,  2 ,  34 ,  137 
HH2406T,09,135,District - Moradabad,Total,Within the premises,"  5,057 ","  2,053 ",  515 ,  7 ,  2 ,"  2,278 ",  202 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,135,District - Moradabad,Total,Near the premises,  856 ,  217 ,  96 ,  12 ,  2 ,  389 ,  41 ,  2 ,  1 ,  11 ,  85 
HH2406T,09,135,District - Moradabad,Total,Away,  573 ,  309 ,  13 ,  -   ,  -   ,  149 ,  26 ,  -   ,  1 ,  23 ,  52 
HH2406T,09,135,District - Moradabad,Rural,Total,"  2,793 ",  995 ,  239 ,  18 ,  1 ,"  1,440 ",  4 ,  2 ,  1 ,  9 ,  84 
HH2406T,09,135,District - Moradabad,Rural,Within the premises,"  2,016 ",  815 ,  174 ,  6 ,  1 ,"  1,017 ",  3 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,135,District - Moradabad,Rural,Near the premises,  602 ,  154 ,  54 ,  12 ,  -   ,  297 ,  1 ,  2 ,  -   ,  9 ,  73 
HH2406T,09,135,District - Moradabad,Rural,Away,  175 ,  26 ,  11 ,  -   ,  -   ,  126 ,  -   ,  -   ,  1 ,  -   ,  11 
HH2406T,09,135,District - Moradabad,Urban,Total,"  3,693 ","  1,584 ",  385 ,  1 ,  3 ,"  1,376 ",  265 ,  -   ,  1 ,  25 ,  53 
HH2406T,09,135,District - Moradabad,Urban,Within the premises,"  3,041 ","  1,238 ",  341 ,  1 ,  1 ,"  1,261 ",  199 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,135,District - Moradabad,Urban,Near the premises,  254 ,  63 ,  42 ,  -   ,  2 ,  92 ,  40 ,  -   ,  1 ,  2 ,  12 
HH2406T,09,135,District - Moradabad,Urban,Away,  398 ,  283 ,  2 ,  -   ,  -   ,  23 ,  26 ,  -   ,  -   ,  23 ,  41 
HH2406T,09,136,District - Rampur,Total,Total,"  2,857 ",  967 ,  316 ,  20 ,  2 ,"  1,503 ",  18 ,  3 ,  -   ,  3 ,  25 
HH2406T,09,136,District - Rampur,Total,Within the premises,"  2,364 ",  865 ,  243 ,  16 ,  1 ,"  1,224 ",  15 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,136,District - Rampur,Total,Near the premises,  375 ,  97 ,  67 ,  3 ,  1 ,  184 ,  2 ,  3 ,  -   ,  3 ,  15 
HH2406T,09,136,District - Rampur,Total,Away,  118 ,  5 ,  6 ,  1 ,  -   ,  95 ,  1 ,  -   ,  -   ,  -   ,  10 
HH2406T,09,136,District - Rampur,Rural,Total,"  2,051 ",  570 ,  283 ,  15 ,  1 ,"  1,143 ",  8 ,  3 ,  -   ,  3 ,  25 
HH2406T,09,136,District - Rampur,Rural,Within the premises,"  1,583 ",  476 ,  217 ,  11 ,  1 ,  873 ,  5 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,136,District - Rampur,Rural,Near the premises,  351 ,  89 ,  60 ,  3 ,  -   ,  176 ,  2 ,  3 ,  -   ,  3 ,  15 
HH2406T,09,136,District - Rampur,Rural,Away,  117 ,  5 ,  6 ,  1 ,  -   ,  94 ,  1 ,  -   ,  -   ,  -   ,  10 
HH2406T,09,136,District - Rampur,Urban,Total,  806 ,  397 ,  33 ,  5 ,  1 ,  360 ,  10 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,136,District - Rampur,Urban,Within the premises,  781 ,  389 ,  26 ,  5 ,  -   ,  351 ,  10 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,136,District - Rampur,Urban,Near the premises,  24 ,  8 ,  7 ,  -   ,  1 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   
HH2406T,09,136,District - Rampur,Urban,Away,  1 ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
HH2406T,09,137,District - Jyotiba Phule Nagar,Total,Total,"  1,588 ",  763 ,  144 ,  4 ,  -   ,  604 ,  19 ,  -   ,  -   ,  2 ,  52 
HH2406T,09,137,District - Jyotiba Phule Nagar,Total,Within the premises,"  1,150 ",  637 ,  93 ,  1 ,  -   ,  401 ,  18 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,137,District - Jyotiba Phule Nagar,Total,Near the premises,  274 ,  88 ,  31 ,  2 ,  -   ,  131 ,  1 ,  -   ,  -   ,  2 ,  19 
HH2406T,09,137,District - Jyotiba Phule Nagar,Total,Away,  164 ,  38 ,  20 ,  1 ,  -   ,  72 ,  -   ,  -   ,  -   ,  -   ,  33 
HH2406T,09,137,District - Jyotiba Phule Nagar,Rural,Total,"  1,071 ",  493 ,  90 ,  3 ,  -   ,  453 ,  4 ,  -   ,  -   ,  -   ,  28 
HH2406T,09,137,District - Jyotiba Phule Nagar,Rural,Within the premises,  716 ,  396 ,  54 ,  -   ,  -   ,  262 ,  4 ,  -   ,  -   ,  -   ,  -   
HH2406T,09,137,District - Jyotiba Phule Nagar,Rural,Near the premises,  207 ,  59 ,  18 ,  2 ,  -   ,  124 ,  -   ,  -   ,  -   ,  -   ,  4 
